Index;Text;Cause;Effect
0026.00005;Communications Systems has a dividend payout ratio of -10.1% indicating that the company cannot currently cover its dividend with earnings alone and is relying on its balance sheet to cover its dividend payments.; the company cannot currently cover its dividend with earnings alone and is relying on its balance sheet to cover its dividend payments; communications systems has a dividend payout ratio of - 10 . 1
0026.00006;Communications Systems stock traded up $0.01 during mid-day trading on Wednesday, hitting $4.90. 2,036 shares of the company's stock were exchanged, compared to its average volume of 30,043.; communications systems stock traded up $ 0 . 01 during mid - day trading on; hitting $ 4 . 90
0047.00010;In the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups, with group number thirteen currently forming. As Howard points out, LandMark groups never own 100 percent of a horse.; in the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups , with group number thirteen currently forming; landmark groups never own 100 percent of a horse
0049.00001;The majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets. Out of 24 councils that have so far voted on property tax proposals, 14 have voted to increase the charge.; the majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets;
0049.00009;In Cavan, acting chief executive of the council Eoin Doyle warned that in order to allow for more funding for communities and local projects an increase of 15 per cent was needed.; in cavan , acting chief executive of the council eoin doyle warned that in order to allow for more funding for communities and local; an increase of 15 per cent was needed
0052.00004;Photograph: Michaela Rehle/Reuters  British American Tobacco is being pursued by the Dutch authorities for £902m in unpaid taxes, as the maker of Rothmans, Camel and Lucky Strike cigarettes stands accused of avoiding tax on money channelled through the Netherlands.; the maker of rothmans , camel and lucky strike cigarettes stands accused of avoiding tax on money channelled through the netherlands; photograph : michaela rehle / reuters british american tobacco is being pursued by the dutch authorities for £902m in unpaid
0067.00016.1;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.; placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter; second - quarter investment banking revenues totaled $ 104 . 3 million , a 30 % increase from the same period in 2018 . placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter
0067.00016.2;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.; placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter; second - quarter investment banking revenues totaled $ 104 . 3 million , a 30 % increase from the same period in 2018 . placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter
0095.00055;As it reaches the tipping point of having more millionaires than any other country in the world, China now represents roughly a third of the global market for luxury goods. In 2016, 40 percent more cars were sold in China than in all of Europe, and China also accounts for 40 percent of global textiles and apparel consumption.; as it reaches the tipping point of having more millionaires than any other country in the world , china now represents roughly a third of the global market for luxury goods; china now represents roughly a third of the global market for luxury goods
0095.00088;The academic literature finds that a 1 percent reduction in trade costs can result in a 0.4 percent increase in trade flows.; the academic literature finds that a 1 percent reduction in trade; a 0 . 4 percent increase in trade flows
0096.00002;Please see ourPrivacy Noticefor details of your data protection rights  Thank you for subscribingSee our privacy notice  Could not subscribe, try again laterInvalid Email  A £4m grant has been approved to help fund Coventry's City of Culture year in 2021.; please see ourprivacy noticefor details of your data protection rights thank you for subscribingsee our privacy notice could not subscribe , try again laterinvalid email a £4m grant has been approved to help fund coventry ' s city of culture year in 2021;
0097.00007;In the last fiscal year, the UP government paid Rs 86 lakh as the ministers' tax bill.; the ministers ' tax bill; in the last fiscal year , the up government paid rs 86 la
0101.00011;A community-led catchment management scheme has resulted in the planting of more 3,500 trees around Kanyera village over the course of the past decade.; a community - led catchment management; the planting of more 3 , 500 trees around kanyera village over the course of the past decade
0105.00030;The bank targets a cost-to-income ratio of 70% by 2022 by cutting some €6 billion ($6.6 billion) in annual expenses and some revenue growth, which should be the key to reach its profitability target in the medium term.;; the bank targets a cost - to - income ratio of 70 % by 202
0108.00012;Tuesday's losses furthered a brutal sell-off in these cannabis leaders' shares, which have now fallen 51%, 48%, and 25%, respectively, over the past year.; tuesday ' s losses furthered a brutal sell - off in these cannabis leaders ' shares , which have now fallen 51 % , 48 % , and 25 % , respectively , over the past year; tuesday ' s losses furthered a brutal sell - off in these cannabis leaders ' shares , which have now fallen 51 % , 48 % , and 25 % , respectively , over the past year
0147.00007;He lived in it for a year on his own, then to help pay the bills he let out 40% as residential accommodation.; he lived in it for a year on his own , then to help pay the bills he let out 40 % as residential accommodation; he lived in it for a year on his own , then to help pay the bills he let out 40 % as residential accommodation
0170.00022;PLC (NYSE:ETN) insider Ken D. Semelsberger sold 17,000 shares of the company's stock in a transaction dated Friday, September 13th. The shares were sold at an average price of $88.69, for a total transaction of $1,507,730.00. Following the transaction, the insider now owns 69,936 shares in the company, valued at approximately $6,202,623.84.; plc ( nyse : etn ) insider ken d . semelsberger sold 17 , 000 shares of the company ' s stock in a transaction dated friday , september 13th; following the transaction , the insider now owns 69 , 936 shares in the company , valued at approximately $ 6 , 202 , 623 . 84
0171.00021;If you work in a government position and receive a pension for work not subject to Social Security taxes, your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.; if you work in a government position and receive a pension for work not subject to social security; your social security benefits received as a spouse or widow or widower are reduced by two - thirds of the amount of the pension
0196.00005;- - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Isign Solutions - 0 - 0 - 0 - 0 - N/A  - Black Knight - 0 - 1 - 10 - 0 - 2.91  Black Knight has a consensus price target of $63.09, suggesting a potential upside of 1.86%.; black knight has a consensus price target of $ 63 .; suggesting a potential upside of 1 . 86 %
0210.00001.1;Planning Solutions Group LLC Boosts Stake in Vanguard High Dividend Yield ETF (NYSEARCA:VYM) Planning Solutions Group LLC increased its position in shares of Vanguard High Dividend Yield ETF (NYSEARCA:VYM) by 1.4% during the second quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 88,738 shares of the company's stock after acquiring an additional 1,202 shares during the period. Vanguard High Dividend Yield ETF makes up about 4.0% of Planning Solutions Group LLC's holdings, making the stock its 5th biggest position. Planning Solutions Group LLC's holdings in Vanguard High Dividend Yield ETF were worth $7,754,000 at the end of the most recent reporting period.;; vanguard high dividend yield etf makes up about 4 . 0 % of planning solutions group llc ' s holdings , making the stock its 5th biggest position . planning solutions group llc ' s holdings in vanguard high dividend yield etf were worth $ 7 , 754 , 000 at the end of the most recent reporting period
0210.00001.2;Planning Solutions Group LLC Boosts Stake in Vanguard High Dividend Yield ETF (NYSEARCA:VYM) Planning Solutions Group LLC increased its position in shares of Vanguard High Dividend Yield ETF (NYSEARCA:VYM) by 1.4% during the second quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 88,738 shares of the company's stock after acquiring an additional 1,202 shares during the period. Vanguard High Dividend Yield ETF makes up about 4.0% of Planning Solutions Group LLC's holdings, making the stock its 5th biggest position. Planning Solutions Group LLC's holdings in Vanguard High Dividend Yield ETF were worth $7,754,000 at the end of the most recent reporting period.;; vanguard high dividend yield etf makes up about 4 . 0 % of planning solutions group llc ' s holdings , making the stock its 5th biggest position . planning solutions group llc ' s holdings in vanguard high dividend yield etf were worth $ 7 , 754 , 000 at the end of the most recent reporting period
0217.00001.1;Food & drink industry  More than 1,400 UK restaurants close as casual dining crunch bites Insolvencies in year to the end of June 2019 increased by 25%  -  the highest since at least 2014  Rupert Neate  @RupertNeate  All but three of Jamie Oliver's 25 UK restaurants have closed after the business called in administrators in May.; the business called in administrators in may; food & drink industry more than 1 , 400 uk restaurants close as casual dining crunch bites insolvencies in year to the end of june 2019 increased by 25
0217.00001.2;Food & drink industry  More than 1,400 UK restaurants close as casual dining crunch bites Insolvencies in year to the end of June 2019 increased by 25%  -  the highest since at least 2014  Rupert Neate  @RupertNeate  All but three of Jamie Oliver's 25 UK restaurants have closed after the business called in administrators in May.; the business called in administrators in may; food & drink industry more than 1 , 400 uk restaurants close as casual dining crunch bites insolvencies in year to the end of june 2019 increased by 25
0218.00009;Overstock.com Inc., down 62 cents to $15.57  The company's founder and former CEO, Patrick Byrne, sold all his holdings in the company.; the company ' s founder and former ceo , patrick byrne , sold all his holdings in the company; overstock . com inc . , down 62 cents to $ 15 .
0220.00007;Thomas Cook was brought down by a $2.1 billion debt pile, built up by a series of ill-fated deals, that hobbled its response to nimble online rivals.; a series of ill - fated deals , that hobbled its response to nimble online rivals;
0252.00001;Convergence between poorer and richer countries comes to a halt  In 2018, gross financial assets in emerging markets not only declined for the first time, but the decline of -0.4% was also more pronounced than in the industrialized countries (-0.1%). The weak development in China, where assets fell by 3.4%, played a key role in this.; convergence between poorer and richer countries comes to a halt in 2018 , gross financial assets in emerging markets not only declined for the first time , but the decline of - 0 . 4 % was also more pronounced than in the industrialized countries ( - 0 . 1 % ) . the weak development in china , where assets fell by 3 . 4 % , played a key role in this; convergence between poorer and richer countries comes to a halt in 2018 , gross financial assets in emerging markets not only declined for the first time , but the decline of - 0 . 4 % was also more pronounced than in the industrialized countries ( - 0 . 1 % )
0256.00037;The $810 million will end up with a third bank, which in turn will lend out 90% of $ 810 million and so on. Consequently, the initial injection of $1 billion will become $10 billion (i.e., the money supply will expand by a multiple of 10).; the $ 810 million will end up with a third bank , which in turn will lend out 90 % of $ 810 million and so on; the $ 810 million will end up with a third bank , which in turn will lend out 90 % of $ 810 million and so on . consequently , the initial injection of $ 1 billion will become $ 10 billion ( i . e . , the money supply will expand by a multiple of 10 )
0256.00069;If however, Bank One practices fractional-reserve banking and lends the $ 50 to Mike out of thin air, then on the day of maturity when Mike repays the $50 the money goes back to the bank  -  the original creator of this empty money, i.e., money disappears from the economy, or it vanishes.; if however , bank one practices fractional - reserve banking and lends the $ 50 to mike out of thin air , then on the day of maturity when mike repays the $ 50 the money goes back to the bank - the original creator of this empty money , i . e . , money disappears from the economy , or it vanishes; if however , bank one practices fractional - reserve banking and lends the $ 50 to mike out of thin air , then on the day of maturity when mike repays the $ 50 the money goes back to the bank - the original creator of this empty money , i . e . , money disappears from the economy , or it vanishes
0262.00063;Winning looks like handing the Congressional Budget Office a piece of legislation and saying, 'This legislation is designed to lift ten million kids out of poverty.; winning looks like handing the congressional budget office a piece of legislation and saying , ' this legislation is designed to lift ten million kids out of poverty; lift ten million kids out of poverty
0263.00026;Another chronically underfunded area, Mackey said, is in school transportation, where he is asking for $16 million in additional funding in the proposal.; another chronically underfunded area , mackey said , is in school transportation , where he is asking for $ 16 million in additional funding in the proposal; he is asking for $ 16 million in additional funding in the proposal
0272.00001;Share  September 13, 2019  Rare Daily Staff  Castle Creek Pharmaceutical Holdings, the parent of Castle Creek Pharmaceuticals, has reached an agreement to acquire Fibrocell Science, a cell and gene therapy company developing treatments for skin and connective tissue diseases. Under the terms of the deal, Castle Creek will pay Fibrocell shareholders $3 per share, a 63 percent premium to its 30-day volume all-cash price for a total consideration of approximately $63.3 million, including repayment of debt and other financial instruments, in cash.; share september 13 , 2019 rare daily staff castle creek pharmaceutical holdings , the parent of castle creek pharmaceuticals , has reached an agreement to acquire fibrocell science , a cell and gene therapy company developing treatments for skin and connective tissue diseases; under the terms of the deal , castle creek will pay fibrocell shareholders $ 3 per share , a 63 percent premium to its 30 - day volume all - cash price for a total consideration of approximately $ 63 . 3 million , including repayment of debt and other financial instruments , in cash
0279.00004;Pointer Telocation has a consensus target price of $15.36, suggesting a potential upside of 5.13%.; pointer telocation has a consensus target price of $ 15 .; suggesting a potential upside of 5 . 13 %
0299.00009;Even firms just over the 25% mark in this chart might think twice since once exemptions are given up they cannot be availed of in future.; exemptions are given up they cannot be availed of in future; even firms just over the 25 % mark in this chart might think
0303.00020;She became director in 2008, eventually earning $115,000 a year.; she became director in; earning $ 115 , 000 a year
0303.00071;Because of one of the lawsuits, Tran is forbidden to sell the property, valued at $2.2 million.; because of one of the; valued at $ 2 . 2 million
0306.00001;TULSA, Okla.--(BUSINESS WIRE)--NGL Energy Partners LP (NYSE: NGL) announced today that the Board of Directors of its general partner declared a distribution for the quarter ending September 30, 2019 to be paid to the holders of the Partnership's 9.00% Class B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units (Class B Preferred Units) and the 9.625% Class C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units (Class C Preferred Units) in accordance with the terms outlined in NGL's partnership agreement. Each of the Class B Preferred Units quarterly distribution of $0.5625 per unit and the Class C Preferred Units quarterly distribution of $0.60156 per unit will be made on October 15, 2019 to holders of record on October 1, 2019.; tulsa , okla . - - ( business wire ) - - ngl energy partners lp ( nyse : ngl ) announced today that the board of directors of its general partner declared a distribution for the quarter ending september 30 , 2019 to be paid to the holders of the partnership ' s 9 . 00 % class b fixed - to - floating rate cumulative redeemable perpetual preferred units ( class b preferred units ) and the 9 . 625 % class c fixed - to - floating rate cumulative redeemable perpetual preferred units ( class c preferred units ) in accordance with the terms outlined in ngl ' s partnership agreement; tulsa , okla . - - ( business wire ) - - ngl energy partners lp ( nyse : ngl ) announced today that the board of directors of its general partner declared a distribution for the quarter ending september 30 , 2019 to be paid to the holders of the partnership ' s 9 . 00 % class b fixed - to - floating rate cumulative redeemable perpetual preferred units ( class b preferred units ) and the 9 . 625 % class c fixed - to - floating rate cumulative redeemable perpetual preferred units ( class c preferred units ) in accordance with the terms outlined in ngl ' s partnership agreement . each of the class b preferred units quarterly distribution of $ 0 . 5625 per unit and the class c preferred units quarterly distribution of $ 0 . 60156 per unit will be made on october 15 , 2019 to holders of record on october 1 , 2019
0326.00004;Following the Great Financial Crisis, central banks worldwide initiated Friedman's policy of helicopter money, dispensing trillions of dollars.; following the great financial crisis , central banks worldwide initiated friedman ' s policy of helicopter; dispensing trillions of dollars
0337.00010;Cortis took Portelli to court for repayment of the outstanding debt, at the time €52,800 but which was later partly repaid, leaving a balance of €6,284.81.; cortis took portelli to court for repayment of the outstanding debt , at the time €52 , 800 but which was later partly rep; leaving a balance of €6 , 284 . 81
0340.00002;(NYSE: SAFE) announced today that the Company's Board of Directors has declared common stock dividends of $0.156 per share for the third quarter of 2019. The dividend represents an annualized rate of $0.624 per share and is payable on October 15, 2019 to holders of record on October 3, 2019.; ( nyse : safe ) announced today that the company ' s board of directors has declared common stock dividends of $ 0 . 156 per share for the third quarter of 2019; the dividend represents an annualized rate of $ 0 . 624 per share and is payable on october 15 , 2019 to holders of record on october 3 , 2019
0351.00001;in Market News  UPCOMING DEADLINE NOTICE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Oasmia Pharmaceutical AB and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm by letstock AI  5.6k  SHARES  LOS ANGELES, Sept. 16, 2019 (GLOBE NEWSWIRE)  -  The Schall Law Firm , a national shareholder rights litigation firm, announces the filing of a class action lawsuit against Oasmia Pharmaceutical AB (Oasmia or the Company) (NASDAQ: OASM ) for violations of §§10(b) and 20(a) of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder by the U.S. Securities and Exchange Commission.; in market news upcoming deadline notice : the schall law firm announces the filing of a class action lawsuit against oasmia pharmaceutical ab and encourages investors with losses in excess of $ 100 , 000 to contact the firm by letstock ai 5 . 6k shares los angeles , sept . 16 , 2019 ( globe newswire ) - the schall law firm , a national shareholder rights litigation firm , announces the filing of a class action lawsuit against oasmia pharmaceutical ab ( oasmia or the company ) ( nasdaq : oasm ) for violations of § § 10 ( b ) and 20 ( a ) of the securities exchange act of 1934 and rule 10b - 5 promulgated thereunder by the u . s . securities and exchange commission; encourages investors with losses in excess of $ 100 ,
0355.00003;NYSEARCA:PWV traded down $0.18 during mid-day trading on Monday, hitting $38.63. 52,492 shares of the stock traded hands, compared to its average volume of 103,623.; nysearca : pwv traded down $ 0 . 18 during mid - day trading on; hitting $ 38 . 63
0365.00011;Shrugging off a wider gloom, London-listed shares of tour operator TUI rallied another 6.5% after it stuck to its earnings forecast for the year, a day after the collapse of its rival Thomas Cook.; it stuck to its earnings forecast for the year , a day after the collapse of its rival thomas cook; shrugging off a wider gloom , london - listed shares of tour operator tui rallied another 6 . 5
0365.00014;Small-cap Metro Bank sank 35% to a new life-low after it ditched a 250 million pound bond issue on Monday after failing to attract investors.; it ditched a 250 million pound bond issue on monday after failing to attract investors; small - cap metro bank sank 35 % to a new life -
0390.00011;BNP Paribas Arbitrage SA grew its holdings in shares of Barnes & Noble Education by 108.5% during the 1st quarter. BNP Paribas Arbitrage SA now owns 9,317 shares of the specialty retailer's stock valued at $39,000 after purchasing an additional 4,848 shares during the last quarter.; bnp paribas arbitrage sa grew its holdings in shares of barnes & noble education by 108 . 5 % during the 1st quarter; bnp paribas arbitrage sa now owns 9 , 317 shares of the specialty retailer ' s stock valued at $ 39 , 000 after purchasing an additional 4 , 848 shares during the last quarter
0390.00012;SG Americas Securities LLC grew its holdings in shares of Barnes & Noble Education by 40.2% during the 1st quarter. SG Americas Securities LLC now owns 25,159 shares of the specialty retailer's stock valued at $106,000 after purchasing an additional 7,210 shares during the last quarter.; sg americas securities llc grew its holdings in shares of barnes & noble education by 40 . 2 % during the 1st quarter; sg americas securities llc now owns 25 , 159 shares of the specialty retailer ' s stock valued at $ 106 , 000 after purchasing an additional 7 , 210 shares during the last quarter
0402.00017;The information services provider reported $0.11 earnings per share (EPS) for the quarter, topping the Zacks' consensus estimate of $0.06 by $0.05.; the information services provider reported $ 0 . 11 earnings per share ( eps ) for the; topping the zacks ' consensus estimate of $ 0 . 06 by $ 0 . 05
0427.00012;Describing the repatriation plan, British Transport Secretary Grant Shapps said dozens of charter planes, from as far afield as Malaysia, had been hired to fly customers home free of charge.; describing the repatriation plan , british transport secretary grant shapps said dozens of charter planes , from as far afield as malaysia , had been hired to fly customers home free of charge; describing the repatriation plan , british transport secretary grant shapps said dozens of charter planes , from as far afield as malaysia , had been hired to fly customers home free of charge
0433.00036;On the opposite end, due to the significant growth in consumer discretionary stocks such as Apple (OTC:APPL) and Disney (NYSE:DIS), this sector has breached 20% of the total portfolio value.; on the opposite end , due to the significant growth in consumer discretionary stocks such as apple ( otc : appl ) and disney ( nyse : dis; this sector has breached 20 % of the total portfolio value
0435.00012;The industrial products company reported $0.68 earnings per share for the quarter, beating the Thomson Reuters' consensus estimate of $0.61 by $0.07.; the industrial products company reported $ 0 . 68 earnings per share for the; beating the thomson reuters ' consensus estimate of $ 0 . 61 by $ 0 . 07
0444.00001;by tom  Transit Credit Worth $229M A Conservative proposal to revive a green tax credit for transit users would cost $229 million next year, says the Parliamentary Budget Office.; by tom transit credit worth $ 229m a conservative proposal to revive a green tax credit for transit; by tom transit credit worth $ 229m a conservative proposal to revive a green tax credit for transit users would cost $ 229 million next year , says the parliamentary budget office
0458.00001;Cohen & Steers Select Pref & Inc Fd, Inc (NYSE:PSF) to Issue $0.17 Dividend Cohen & Steers Select Pref & Inc Fd, Inc (NYSE:PSF) announced a dividend on Tuesday, June 11th, NASDAQ reports. Stockholders of record on Wednesday, September 18th will be given a dividend of 0.172 per share on Monday, September 30th.; cohen & steers select pref & inc fd , inc ( nyse : psf ) to issue $ 0 . 17 dividend cohen & steers select pref & inc fd , inc ( nyse : psf ) announced a dividend on tuesday , june 11th , nasdaq reports; stockholders of record on wednesday , september 18th will be given a dividend of 0 . 172 per share on monday , september 30th
0466.00003;Shares of FITE traded up $0.09 during mid-day trading on Wednesday, reaching $37.45.; shares of fite traded up $ 0 . 09 during mid - day trading on; reaching $ 37 . 45
0475.00087;The Agency has now developed and validated the first ever National Disaster Response Plan (2019-30) and, working with partners, provided seeds to 10,719 farmers across the country in preparation for the 2019 rainy season.; the agency has now developed and validated the first ever national disaster response plan ( 2019 - 30; the agency has now developed and validated the first ever national disaster response plan ( 2019 - 30 ) and , working with partners , provided seeds to 10 , 719 farmers across the country in preparation for the 2019 rainy season
0490.00018;The need and demand for affordable family housing is strong in these two communities. All units will be available to households earning less than 60% of the area median income (AMI), or $49,700 for a family of four.; the need and demand for affordable family housing is strong in these two communities; all units will be available to households earning less than 60 % of the area median income ( ami ) , or $ 49 , 700 for a family of four
0495.00008;Entrepreneurs' Relief (ER) ER may be available for certain business disposals and has the effect of charging the first £10 million of gains qualifying for the relief at an effective rate of 10%.; entrepreneurs ' relief ( er ) er may be available for certain business disposal; charging the first £10 million of gains qualifying for the relief at an effective rate of 10 %
0495.00016;For disposals on or after 29 October 2018, they must also satisfy one of the following tests: a distribution test  -  an individual is entitled to at least 5% of the company's profit available for distribution to equity holders and 5% of the assets available for distribution to equity holders in a winding up or a proceeds test  -  an individual is entitled to at least 5% of the proceeds in the event of a disposal of the whole of the ordinary share capital of the company.; for disposals on or after 29 october 2018 , they must also satisfy one of the following tests : a distribution test - an individual is entitled to at least 5 % of the company ' s profit available for distribution to equity holders and 5 % of the assets available for distribution to equity holders in a winding up or a proceeds test - an individual is entitled to at least 5 % of the proceeds in the event of a disposal of the whole of the ordinary share capital of the company; an individual is entitled to at least 5 % of the company ' s profit available for distribution to equity holders and 5 % of the assets available for distribution to equity holders in a winding up or a proceeds test - an individual is entitled to at least 5 % of the proceeds in the event of a disposal of the whole of the ordinary share capital of the company
0497.00003;The Vision Fund is the biggest tech investor in the world. It has $100 billion to spend from backers including Apple, Qualcomm, and controversially Saudia Arabia's sovereign wealth fund the PIF.; the vision fund is the biggest tech investor in the world; it has $ 100 billion to spend from backers including apple , qualcomm , and controversially saudia arabia ' s sovereign wealth fund the pif
0499.00004;Alexandria Ocasio-Cortez has slammed GM GM, -0.01% as during a time of what she called record profits, specifically after the auto maker said it would suspend payments for strikers' health insurance.; the auto maker said it would suspend payments for strikers ' health insurance; alexandria ocasio - cortez has slammed gm gm , - 0 . 01 %
0502.00002;Incumbent RBS boss Ross McEwan announced in April his intention to step down from his role at the head of the 62% state-owned banking giant, saying it was the right time to go having delivered on his strategy of stabilising the bank following its post-crisis bailout.; incumbent rbs boss ross mcewan announced in april his intention to step down from his role at the head of the 62 % state - owned banking giant , saying it was the right time to go having delivered on his strategy of stabilising the bank following its post - crisis bailout;
0510.00053;-  Employers are coming to terms (sometimes with legal prodding) with the fact that it's not just mothers who need parental leave. Fathers do, too. Exhibit A is JPMorgan Chase, which recently settled a paternity leave case for $5 million.; - employers are coming to terms ( sometimes with legal prodding ) with the fact that it ' s not just mothers who need parental leave; exhibit a is jpmorgan chase , which recently settled a paternity leave case for $ 5 million
0527.00019.1;Over the next decade, councils are currently expected to replace rundown assets, ahead of projects which would improve service levels or add more capacity to cope with growth. Of the $91 bln in capital spending on the four network infrastructure areas (roading, water supply, stormwater, and wastewater) over the next decade, councils across New Zealand are intending to allocate 46% to replacing existing assets (see Graph 2). Around a third (31%) will be spent on improving levels of service, while only 23% will be spent to meet additional demand.; over the next decade , councils are currently expected to replace rundown assets , ahead of projects which would improve service levels or add more capacity to cope with growth; around a third ( 31 % ) will be spent on improving levels of service , while only 23 % will be spent to meet additional demand
0527.00019.2;Over the next decade, councils are currently expected to replace rundown assets, ahead of projects which would improve service levels or add more capacity to cope with growth. Of the $91 bln in capital spending on the four network infrastructure areas (roading, water supply, stormwater, and wastewater) over the next decade, councils across New Zealand are intending to allocate 46% to replacing existing assets (see Graph 2). Around a third (31%) will be spent on improving levels of service, while only 23% will be spent to meet additional demand.; over the next decade , councils are currently expected to replace rundown assets , ahead of projects which would improve service levels or add more capacity to cope with growth; around a third ( 31 % ) will be spent on improving levels of service , while only 23 % will be spent to meet additional demand
0561.00014.1;-  Approved an agreement with the Midwest Regional Educational Service Center for an early childhood intervention specialist at a cost of $47,740.16.   -  Approved Doug Huelskamp Construction to construct a 40-foot by 64-foot barn at a cost of up to $60,000.; - approved an agreement with the midwest regional educational service center for an early childhood intervention specialist at a cost of $ 47 , 740 . 16 . - approved doug huelskamp construction to construct a 40 - foot by 64 - foot barn at a cost of up to $ 60 , 000;
0561.00014.2;-  Approved an agreement with the Midwest Regional Educational Service Center for an early childhood intervention specialist at a cost of $47,740.16.   -  Approved Doug Huelskamp Construction to construct a 40-foot by 64-foot barn at a cost of up to $60,000.; - approved an agreement with the midwest regional educational service center for an early childhood intervention specialist at a cost of $ 47 , 740 . 16 . - approved doug huelskamp construction to construct a 40 - foot by 64 - foot barn at a cost of up to $ 60 , 000;
0565.00029;BlackRock Inc. grew its stake in shares of Travelers Companies by 7.3% in the first quarter. BlackRock Inc. now owns 22,604,259 shares of the insurance provider's stock worth $3,100,401,000 after acquiring an additional 1,528,327 shares during the last quarter.; blackrock inc . grew its stake in shares of travelers companies by 7 . 3 % in the first quarter; blackrock inc . now owns 22 , 604 , 259 shares of the insurance provider ' s stock worth $ 3 , 100 , 401 , 000 after acquiring an additional 1 , 528 , 327 shares during the last quarter
0575.00010;The bank reported $0.64 EPS for the quarter, topping the Thomson Reuters' consensus estimate of $0.61 by $0.03.; the bank reported $ 0 . 64 eps for the; topping the thomson reuters ' consensus estimate of $ 0 . 61 by $ 0 . 03
0575.00016;Dimensional Fund Advisors LP lifted its position in CNB Financial by 5.3% during the 4th quarter. Dimensional Fund Advisors LP now owns 560,546 shares of the bank's stock valued at $12,864,000 after acquiring an additional 28,236 shares during the period.; dimensional fund advisors lp lifted its position in cnb financial by 5 . 3 % during the 4th quarter; dimensional fund advisors lp now owns 560 , 546 shares of the bank ' s stock valued at $ 12 , 864 , 000 after acquiring an additional 28 , 236 shares during the period
0575.00018;Royce & Associates LP lifted its position in CNB Financial by 1.6% during the 1st quarter. Royce & Associates LP now owns 711,224 shares of the bank's stock valued at $17,973,000 after acquiring an additional 11,131 shares during the period.; royce & associates lp lifted its position in cnb financial by 1 . 6 % during the 1st quarter; royce & associates lp now owns 711 , 224 shares of the bank ' s stock valued at $ 17 , 973 , 000 after acquiring an additional 11 , 131 shares during the period
0577.00001;UPDATE 1-Sweden's Kinnevik to hand out Millicom stake to shareholders 2 Min Read (Adds detail, background, shares) STOCKHOLM, Sept 17 (Reuters) - Investment company Kinnevik will hand out its 37.2% stake in telecoms operator Millicom to shareholders as it presses on with its strategy to increase its exposure to private Nordic companies.; update 1 - sweden ' s kinnevik to hand out millicom stake to shareholders 2 min read ( adds detail , background , shares ) stockholm , sept 17 ( reuters ) - investment company kinnevik will hand out its 37 . 2 % stake in telecoms operator millicom to shareholders as it presses on with its strategy to increase its exposure to private nordic companies; update 1 - sweden ' s kinnevik to hand out millicom stake to shareholders 2 min read ( adds detail , background , shares ) stockholm , sept 17 ( reuters ) - investment company kinnevik will hand out its 37 . 2 % stake in telecoms operator millicom to shareholders as it presses on with its strategy to increase its exposure to private nordic companies
0578.00005;Upgrade the stock to 'add' (from 'reduce') with revised TP of Rs 1,350 (from Rs1,230) as we roll over to Sept-21 and raise target multiple to 38x (from 36x).; upgrade the stock to ' add ' ( from ' reduce ' ) with revised tp of rs 1 , 350 ( from rs1 , 230 ) as we roll over to sept - 21 and raise target multiple to 38x ( from 36x );
0581.00021;One analyst has rated the stock with a sell rating, five have assigned a hold rating and six have issued a buy rating to the company. The stock presently has an average rating of Hold and a consensus price target of $14.65.; one analyst has rated the stock with a sell rating , five have assigned a hold rating and six have issued a buy rating to the company; the stock presently has an average rating of hold and a consensus price target of $ 14 . 65
0588.00013;The average ticket price on TickPick, an online exchange for reselling tickets, plunged 50 percent from $341.19 in 2018 to $170.60 in 2019. With multiple theme park attractions, a film studio tour, and a new exhibit opening in Manhattan, there are other ways for fans of the franchise to consume its content.; with multiple theme park attractions , a film studio tour , and a new exhibit opening in manhattan , there are other ways for fans of the franchise to consume its content; the average ticket price on tickpick , an online exchange for reselling tickets , plunged 50 percent from $ 341 . 19 in 2018 to $ 170 . 60 in 2019
